Account	Account name	Campaign	Labels	Campaign Type	Networks	Budget	Budget type	EU political ads	Standard conversion goals	Custom conversion goal	Customer acquisition	Languages	Bid Strategy Type	Bid Strategy Name	Enhanced CPC	Maximum CPC bid limit	Start Date	End Date	Broad match keywords	Ad Schedule	Ad rotation	Content exclusions	Targeting method	Exclusion method	Audience targeting	Flexible Reach	AI Max	Text customization	Final URL expansion	Ad Group	Max CPC	Max CPM	Target CPA	Max CPV	Target CPV	Percent CPC	Target CPM	Target ROAS	Target CPC	Desktop Bid Modifier	Mobile Bid Modifier	Tablet Bid Modifier	TV Screen Bid Modifier	Display Network Custom Bid Type	Optimized targeting	Strict age and gender targeting	Search term matching	Ad Group Type	Channels	Audience name	Age demographic	Gender demographic	Income demographic	Parental status demographic	Remarketing audience segments	Interest categories	Life events	Custom audience segments	Detailed demographics	Remarketing audience exclusions	Tracking template	Final URL suffix	Custom parameters	ID	Location	Reach	Location groups	Radius	Unit	Bid Modifier	Account keyword type	Keyword	Criterion Type	First page bid	Top of page bid	First position bid	Quality score	Landing page experience	Expected CTR	Ad relevance	Final URL	Final mobile URL	Ad type	Headline 1	Headline 1 position	Headline 2	Headline 2 position	Headline 3	Headline 3 position	Headline 4	Headline 4 position	Headline 5	Headline 5 position	Headline 6	Headline 6 position	Headline 7	Headline 7 position	Headline 8	Headline 8 position	Headline 9	Headline 9 position	Headline 10	Headline 10 position	Headline 11	Headline 11 position	Headline 12	Headline 12 position	Headline 13	Headline 13 position	Headline 14	Headline 14 position	Headline 15	Headline 15 position	Description 1	Description 1 position	Description 2	Description 2 position	Description 3	Description 3 position	Description 4	Description 4 position	Path 1	Path 2	Shared set name	Shared set type	Keyword count	Link Text	Description Line 1	Description Line 2	Upgraded extension	Source	Link source	Callout text	Campaign Status	Ad Group Status	Status	Approval Status	Ad strength	Comment
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Brand | TPS1 | 30D		Search	Google search	10000	Daily	Not specified	Submit lead form(Website)	[]	Bid equally	en;vi	Maximize clicks		Disabled	0	2026-07-04	[]	Off	(Monday[07:00-11:30]);(Monday[13:30-17:00]);(Tuesday[07:00-11:30]);(Tuesday[13:30-17:00]);(Wednesday[07:00-11:30]);(Wednesday[13:30-17:00]);(Thursday[07:00-11:30]);(Thursday[13:30-17:00]);(Friday[07:00-11:30]);(Friday[13:30-17:00])	Optimize for clicks	[]	Location of presence	Location of presence	Audience segments	Audience segments	Disabled	Disabled	Disabled																																																																																																									Enabled					
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Brand | TPS1 | 30D										All													Audience segments	Audience segments;Genders;Ages;Parental status;Household incomes				Nhóm quảng cáo 1	1	1			1		1							None	Disabled	Disabled	Enabled	Standard	[]																																																																																					Enabled	Enabled				
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Brand | TPS1 | 30D																												Nhóm quảng cáo 1																																										thucphamsomot	Exact	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Brand | TPS1 | 30D																												Nhóm quảng cáo 1																																										thực phẩm số một	Exact	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Brand | TPS1 | 30D																												Nhóm quảng cáo 1																																										an toàn thực phẩm	Broad	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Paused	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Brand | TPS1 | 30D																												Nhóm quảng cáo 1																																										thực phẩm sạch	Broad	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Paused	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Brand | TPS1 | 30D																												Nhóm quảng cáo 1																																										suất ăn công nghiệp	Broad	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Paused	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Brand | TPS1 | 30D																												Nhóm quảng cáo 1																																										cung cấp suất ăn công nghiệp	Broad	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Brand | TPS1 | 30D																												Nhóm quảng cáo 1																																										công ty suất ăn công nghiệp	Broad	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Paused	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Brand | TPS1 | 30D																												Nhóm quảng cáo 1																																utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}																			https://thucphamsomot.vn/		Responsive search ad	TPS1 Thực Phẩm Số Một	 -	Cung Cấp Thực Phẩm B2B	 -	Nguồn Hàng Cho Bếp Ăn	 -	Báo Giá Theo Nhu Cầu	 -	Tư Vấn Nhu Cầu Bếp Ăn	 -	Thực Phẩm B2B Đồng Nai	 -																			TPS1 cung ứng thực phẩm B2B theo nhu cầu thực tế của bếp và khách hàng doanh nghiệp.	 -	Gửi nhu cầu để nhận phương án báo giá phù hợp.	 -					tps1	b2b											Enabled	Enabled	Enabled	Approved	Poor	
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Brand | TPS1 | 30D																																																														9040372	"Đồng Nai, Việt Nam"	3840000																																																																				Enabled		Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Brand | TPS1 | 30D															[]	[]		[]																																																													https://thucphamsomot.vn/gioi-thieu																																														Giới Thiệu TPS1	Đối tác cung ứng thực phẩm B2B	Phục vụ nhu cầu bếp vận hành	[]	Advertiser	Advertiser		Enabled		Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Brand | TPS1 | 30D															[]	[]		[]																																																													https://thucphamsomot.vn/bao-gia																																														Báo Giá Theo Nhu Cầu	Gửi nhu cầu để nhận báo giá	Theo nhóm hàng và quy mô	[]	Advertiser	Advertiser		Enabled		Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D		Search	Google search	150000	Daily	Doesn't have EU political ads	Submit lead form(Website)	[]	Bid equally	en;vi	Maximize clicks		Disabled	0	2026-07-04	[]	Off	(Monday[07:00-11:30]);(Monday[13:30-17:00]);(Tuesday[07:00-11:30]);(Tuesday[13:30-17:00]);(Wednesday[07:00-11:30]);(Wednesday[13:30-17:00]);(Thursday[07:00-11:30]);(Thursday[13:30-17:00]);(Friday[07:00-11:30]);(Friday[13:30-17:00])	Optimize for clicks	[]	Location of presence	Location of presence	Audience segments	Audience segments	Disabled	Disabled	Disabled																																																																																																									Enabled					
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D										All													Audience segments	Audience segments;Genders;Ages;Parental status;Household incomes				Nhóm quảng cáo 1	1	1			1		1							None	Disabled	Disabled	Enabled	Standard	[]																																																																																					Enabled	Enabled				
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																									None	shopeefood	Negative Phrase																																																													Enabled	Enabled	Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																									None	grabfood	Negative Phrase																																																													Enabled	Enabled	Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																									None	bán lẻ	Negative Phrase																																																													Enabled	Enabled	Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																									None	1kg	Negative Phrase																																																													Enabled	Enabled	Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																									None	bách hóa xanh	Negative Phrase																																																													Enabled	Enabled	Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										công ty cung cấp thực phẩm đồng nai	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										cung cấp thực phẩm biên hòa	Exact	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										cung cấp thực phẩm cho công ty	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										cung cấp thực phẩm đồng nai	Exact	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Removed	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										nhà cung cấp thực phẩm đồng nai	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										cung cấp thực phẩm đồng nai	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										nhà cung cấp thực phẩm	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										cung cấp thực phẩm cho doanh nghiệp	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										bỏ sỉ rau củ quả	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										rau củ giá sỉ	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										lấy sỉ rau củ quả	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										cung cấp thịt cá cho bếp ăn	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										cung cấp thực phẩm cho nhà máy	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										cung cấp rau củ quả cho nhà hàng	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										công ty cung cấp thực phẩm	Phrase	0	0	0	4	Below average	Average	Average																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										thực phẩm cho bếp ăn công nghiệp	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										thực phẩm đông lạnh giá sỉ	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																										nguồn thực phẩm bếp ăn	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												Nhóm quảng cáo 1																																utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}																			https://thucphamsomot.vn/bao-gia		Responsive search ad	Thực Phẩm B2B Đồng Nai	 -	Nguồn Hàng Cho Bếp Ăn	 -	Báo Giá Theo Nhu Cầu	 -	"Rau Củ, Thịt Cá, Đông Lạnh"	 -	Thực Phẩm Cho Nhà Máy	 -	Nguồn Hàng Rõ Ràng	 -	Nhận Báo Giá Nhanh	 -	TPS1 Thực Phẩm Số Một	 -	Cung Ứng Cho Bếp Ăn	 -													"Cung ứng rau củ, thịt cá, đông lạnh và gia vị cho bếp cần nguồn hàng định kỳ."	 -	"Gửi nhóm hàng, quy mô và khu vực giao để nhận phương án báo giá phù hợp."	 -	"Một đầu mối hỗ trợ nguyên liệu cho nhà máy, bếp ăn và đơn vị suất ăn."	 -			bao-gia	b2b											Enabled	Enabled	Enabled	Approved	Poor	
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D										All													Audience segments	Audience segments;Genders;Ages;Parental status;Household incomes				AG02 | Bep an cong nghiep	1	1			1		1							None	Disabled	Disabled	Enabled	Standard	[]																																																																																					Enabled	Enabled				
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												AG02 | Bep an cong nghiep																																										cung cấp thực phẩm bếp ăn công nghiệp	Exact	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Removed	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												AG02 | Bep an cong nghiep																																										cung cấp thực phẩm bếp ăn công nghiệp	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												AG02 | Bep an cong nghiep																																										nhà cung cấp thực phẩm bếp ăn	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												AG02 | Bep an cong nghiep																																										nguồn thực phẩm cho bếp ăn	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												AG02 | Bep an cong nghiep																																										cung cấp rau củ cho bếp ăn	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												AG02 | Bep an cong nghiep																																										cung cấp thịt cá cho bếp ăn	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												AG02 | Bep an cong nghiep																																										cung cấp thực phẩm công nghiệp	Broad	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												AG02 | Bep an cong nghiep																																										báo giá thực phẩm cho bếp ăn	Broad	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												AG02 | Bep an cong nghiep																																										đơn vị cung cấp thực phẩm giá sỉ	Broad	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												AG02 | Bep an cong nghiep																																										thực phẩm sỉ cho bếp ăn công nghiệp	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												AG02 | Bep an cong nghiep																																										cung cấp thực phẩm tại Đồng Nai	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												AG02 | Bep an cong nghiep																																										thực phẩm sạch cho bếp ăn	Broad	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												AG02 | Bep an cong nghiep																																										nhà cung cấp rau củ thực phẩm	Broad	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												AG02 | Bep an cong nghiep																																										cung cấp thịt cá giá sỉ	Broad	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												AG02 | Bep an cong nghiep																																										cung cấp thực phẩm cho bếp ăn công nghiệp	Phrase	0	0	0		 -	 -	 -																																																						Enabled	Enabled	Enabled	Approved		
